Name,FIPS,Owner
Autauga,1001,Southern Mississippi
Baldwin,1003,Air Force
Barbour,1005,Southern Mississippi
Bibb,1007,Alabama
Blount,1009,UAB
Bullock,1011,Southern Mississippi
Butler,1013,Southern Mississippi
Calhoun,1015,UAB
Chambers,1017,Auburn
Cherokee,1019,Clemson
Chilton,1021,UAB
Choctaw,1023,Kansas State
Clarke,1025,Air Force
Clay,1027,Auburn
Cleburne,1029,Clemson
Coffee,1031,Southern Mississippi
Colbert,1033,UAB
Conecuh,1035,Southern Mississippi
Coosa,1037,Auburn
Covington,1039,Southern Mississippi
Crenshaw,1041,Southern Mississippi
Cullman,1043,UAB
Dale,1045,Southern Mississippi
Dallas,1047,Alabama
DeKalb,1049,Clemson
Elmore,1051,Auburn
Escambia,1053,Air Force
Etowah,1055,UAB
Fayette,1057,Alabama
Franklin,1059,UAB
Geneva,1061,Southern Mississippi
Greene,1063,Alabama
Hale,1065,Alabama
Henry,1067,Southern Mississippi
Houston,1069,Southern Mississippi
Jackson,1071,Michigan
Jefferson,1073,UAB
Lamar,1075,Kansas State
Lauderdale,1077,Michigan
Lawrence,1079,UAB
Lee,1081,Auburn
Limestone,1083,Michigan
Lowndes,1085,Southern Mississippi
Macon,1087,Auburn
Madison,1089,Michigan
Marengo,1091,Alabama
Marion,1093,Alabama
Marshall,1095,UAB
Mobile,1097,Air Force
Monroe,1099,Air Force
Montgomery,1101,Southern Mississippi
Morgan,1103,UAB
Perry,1105,Alabama
Pickens,1107,Alabama
Pike,1109,Southern Mississippi
Randolph,1111,Auburn
Russell,1113,Auburn
St. Clair,1115,UAB
Shelby,1117,UAB
Sumter,1119,Alabama
Talladega,1121,UAB
Tallapoosa,1123,Auburn
Tuscaloosa,1125,Alabama
Walker,1127,UAB
Washington,1129,Air Force
Wilcox,1131,Alabama
Winston,1133,UAB
Aleutians East,2013,California
Aleutians West,2016,Washington
Anchorage,2020,California
Bethel,2050,California
Bristol Bay,2060,California
Denali,2068,California
Dillingham,2070,California
Fairbanks North Star,2090,California
Haines,2100,California
Hoonah-Angoon,2105,California
Juneau,2110,California
Kenai Peninsula,2122,California
Ketchikan Gateway,2130,California
Kodiak Island,2150,California
Kusilvak,2158,California
Lake and Peninsula,2164,California
Matanuska-Susitna,2170,California
Nome,2180,California
North Slope,2185,California
Northwest Arctic,2188,California
Petersburg,2195,California
Prince of Wales-Hyder,2198,California
Sitka,2220,California
Skagway,2230,California
Southeast Fairbanks,2240,California
Valdez-Cordova,2261,California
Wrangell,2275,California
Yakutat,2282,California
Yukon-Koyukuk,2290,California
Apache,4001,Notre Dame
Cochise,4003,Washington
Coconino,4005,Arizona State
Gila,4007,Arizona State
Graham,4009,Washington
Greenlee,4011,Washington
La Paz,4012,Arizona State
Maricopa,4013,Arizona State
Mohave,4015,Georgia
Navajo,4017,Arizona State
Pima,4019,Washington
Pinal,4021,Arizona State
Santa Cruz,4023,Washington
Yavapai,4025,Arizona State
Yuma,4027,Arizona State
Arkansas,5001,Memphis
Ashley,5003,Virginia
Baxter,5005,SMU
Benton,5007,Ole Miss
Boone,5009,Ole Miss
Bradley,5011,Virginia
Calhoun,5013,LSU
Carroll,5015,Ole Miss
Chicot,5017,Virginia
Clark,5019,LSU
Clay,5021,SMU
Cleburne,5023,SMU
Cleveland,5025,Virginia
Columbia,5027,LSU
Conway,5029,Ole Miss
Craighead,5031,SMU
Crawford,5033,Ole Miss
Crittenden,5035,Memphis
Cross,5037,SMU
Dallas,5039,LSU
Desha,5041,Virginia
Drew,5043,Virginia
Faulkner,5045,SMU
Franklin,5047,Ole Miss
Fulton,5049,SMU
Garland,5051,Ole Miss
Grant,5053,LSU
Greene,5055,SMU
Hempstead,5057,LSU
Hot Spring,5059,LSU
Howard,5061,LSU
Independence,5063,SMU
Izard,5065,SMU
Jackson,5067,SMU
Jefferson,5069,Virginia
Johnson,5071,Ole Miss
Lafayette,5073,LSU
Lawrence,5075,SMU
Lee,5077,Memphis
Lincoln,5079,Virginia
Little River,5081,LSU
Logan,5083,Ole Miss
Lonoke,5085,SMU
Madison,5087,Ole Miss
Marion,5089,Ole Miss
Miller,5091,LSU
Mississippi,5093,SMU
Monroe,5095,Memphis
Montgomery,5097,Ole Miss
Nevada,5099,LSU
Newton,5101,Ole Miss
Ouachita,5103,LSU
Perry,5105,Ole Miss
Phillips,5107,Memphis
Pike,5109,LSU
Poinsett,5111,SMU
Polk,5113,Ole Miss
Pope,5115,Ole Miss
Prairie,5117,SMU
Pulaski,5119,SMU
Randolph,5121,SMU
St. Francis,5123,Memphis
Saline,5125,Ole Miss
Scott,5127,Ole Miss
Searcy,5129,Ole Miss
Sebastian,5131,Ole Miss
Sevier,5133,LSU
Sharp,5135,SMU
Stone,5137,SMU
Union,5139,LSU
Van Buren,5141,Ole Miss
Washington,5143,Ole Miss
White,5145,SMU
Woodruff,5147,SMU
Yell,5149,Ole Miss
Alameda,6001,BYU
Alpine,6003,Oregon
Amador,6005,Oregon
Butte,6007,Oregon
Calaveras,6009,Oklahoma State
Colusa,6011,California
Contra Costa,6013,California
Del Norte,6015,Auburn
El Dorado,6017,Oregon
Fresno,6019,BYU
Glenn,6021,California
Humboldt,6023,California
Imperial,6025,San Diego State
Inyo,6027,BYU
Kern,6029,Ohio State
Kings,6031,BYU
Lake,6033,California
Lassen,6035,Oregon
Los Angeles,6037,Ohio State
Madera,6039,BYU
Marin,6041,California
Mariposa,6043,BYU
Mendocino,6045,California
Merced,6047,BYU
Modoc,6049,Oregon
Mono,6051,BYU
Monterey,6053,Oklahoma State
Napa,6055,California
Nevada,6057,Oregon
Orange,6059,BYU
Placer,6061,Oregon
Plumas,6063,Oregon
Riverside,6065,San Diego State
Sacramento,6067,California
San Benito,6069,Oklahoma State
San Bernardino,6071,Georgia
San Diego,6073,San Diego State
San Francisco,6075,California
San Joaquin,6077,Oklahoma State
San Luis Obispo,6079,BYU
San Mateo,6081,BYU
Santa Barbara,6083,BYU
Santa Clara,6085,Oklahoma State
Santa Cruz,6087,Oklahoma State
Shasta,6089,Oregon
Sierra,6091,Oregon
Siskiyou,6093,Auburn
Solano,6095,California
Sonoma,6097,California
Stanislaus,6099,Oklahoma State
Sutter,6101,California
Tehama,6103,Oregon
Trinity,6105,Oregon
Tulare,6107,BYU
Tuolumne,6109,BYU
Ventura,6111,BYU
Yolo,6113,California
Yuba,6115,Oregon
Adams,8001,Air Force
Alamosa,8003,Air Force
Arapahoe,8005,Air Force
Archuleta,8007,Notre Dame
Baca,8009,Air Force
Bent,8011,Air Force
Boulder,8013,Air Force
Broomfield,8014,Air Force
Chaffee,8015,Air Force
Cheyenne,8017,Air Force
Clear Creek,8019,Air Force
Conejos,8021,Air Force
Costilla,8023,Air Force
Crowley,8025,Air Force
Custer,8027,Air Force
Delta,8029,Air Force
Denver,8031,Air Force
Dolores,8033,Notre Dame
Douglas,8035,Air Force
Eagle,8037,Air Force
Elbert,8039,Air Force
El Paso,8041,Air Force
Fremont,8043,Air Force
Garfield,8045,Air Force
Gilpin,8047,Air Force
Grand,8049,Air Force
Gunnison,8051,Air Force
Hinsdale,8053,Air Force
Huerfano,8055,Air Force
Jackson,8057,Wyoming
Jefferson,8059,Air Force
Kiowa,8061,Air Force
Kit Carson,8063,Air Force
Lake,8065,Air Force
La Plata,8067,Notre Dame
Larimer,8069,Air Force
Las Animas,8071,Air Force
Lincoln,8073,Air Force
Logan,8075,Air Force
Mesa,8077,Utah
Mineral,8079,Air Force
Moffat,8081,Wyoming
Montezuma,8083,Notre Dame
Montrose,8085,Air Force
Morgan,8087,Air Force
Otero,8089,Air Force
Ouray,8091,Air Force
Park,8093,Air Force
Phillips,8095,Air Force
Pitkin,8097,Air Force
Prowers,8099,Air Force
Pueblo,8101,Air Force
Rio Blanco,8103,Air Force
Rio Grande,8105,Air Force
Routt,8107,Wyoming
Saguache,8109,Air Force
San Juan,8111,Air Force
San Miguel,8113,Air Force
Sedgwick,8115,Air Force
Summit,8117,Air Force
Teller,8119,Air Force
Washington,8121,Air Force
Weld,8123,Air Force
Yuma,8125,Air Force
Fairfield,9001,Michigan
Hartford,9003,Eastern Michigan
Litchfield,9005,Eastern Michigan
Middlesex,9007,Eastern Michigan
New Haven,9009,Eastern Michigan
New London,9011,Eastern Michigan
